Winner,Loser
Ball State,Northeastern
Buffalo,Texas-El Paso
Central Michigan,Eastern Illinois
Cincinnati,Eastern Kentucky
Connecticut,Hofstra
Eastern Michigan,Indiana State
Georgia Tech,Jacksonville State
Iowa State,South Dakota State
Miami FL,Charleston Southern
South Carolina,North Carolina State
Stanford,Oregon State
Troy,Middle Tennessee State
Vanderbilt,Miami OH
Wake Forest,Baylor
Rice,Southern Methodist
Temple,Army
Air Force,Southern Utah
Alabama,Clemson
Arizona,Idaho
Arizona State,Northern Arizona
Arkansas,Western Illinois
Arkansas State,Texas A&M
Auburn,Louisiana-Monroe
Boise State,Idaho State
Boston College,Kent State
Bowling Green State,Pittsburgh
Brigham Young,Northern Iowa
Cal Poly,San Diego State
California,Michigan State
Central Florida,South Carolina State
Duke,James Madison
East Carolina,Virginia Tech
Florida,Hawaii
Georgia,Georgia Southern
Houston,Southern
Indiana,Western Kentucky
Iowa,Maine
Kansas,Florida International
Kansas State,North Texas
Louisiana State,Appalachian State
Louisiana Tech,Mississippi State
Marshall,Illinois State
Maryland,Delaware
Minnesota,Northern Illinois
Mississippi,Memphis
Missouri,Illinois
Navy,Towson
Nebraska,Western Michigan
Nevada,Grambling State
Nevada-Las Vegas,Utah State
North Carolina,McNeese State
Northwestern,Syracuse
Ohio State,Youngstown State
Oklahoma,Chattanooga
Oklahoma State,Washington State
Oregon,Washington
Penn State,Coastal Carolina
San Jose State,California-Davis
South Florida,Tennessee-Martin
Southern California,Virginia
Southern Mississippi,Louisiana
Texas,Florida Atlantic
Texas Christian,New Mexico
Texas Tech,Eastern Washington
Tulsa,Alabama-Birmingham
Utah,Michigan
West Virginia,Villanova
Wisconsin,Akron
Wyoming,Ohio
Colorado,Colorado State
Kentucky,Louisville
Fresno State,Rutgers
UCLA,Tennessee
Vanderbilt,South Carolina
Ball State,Navy
Air Force,Wyoming
Akron,Syracuse
Alabama,Tulane
Arizona,Toledo
Arizona State,Stanford
Arkansas,Louisiana-Monroe
Arkansas State,Texas Southern
Auburn,Southern Mississippi
Baylor,Northwestern State
Brigham Young,Washington
California,Washington State
Clemson,Citadel
Colorado,Eastern Washington
Colorado State,Sacramento State
Connecticut,Temple
East Carolina,West Virginia
Florida,Miami FL
Florida Atlantic,Alabama-Birmingham
Florida State,Western Carolina
Georgia,Central Michigan
Georgia Tech,Boston College
Hawaii,Weber State
Idaho,Idaho State
Illinois,Eastern Illinois
Indiana,Murray State
Iowa,Florida International
Iowa State,Kent State
Kansas,Louisiana Tech
Kansas State,Montana State
Kentucky,Norfolk State
Louisville,Tennessee Tech
Michigan,Miami OH
Michigan State,Eastern Michigan
Middle Tennessee State,Maryland
Minnesota,Bowling Green State
Mississippi State,Southeastern Louisiana
Missouri,Southeast Missouri State
Nebraska,San Jose State
New Hampshire,Army
North Carolina State,William & Mary
Northwestern,Duke
Notre Dame,San Diego State
Ohio State,Ohio
Oklahoma,Cincinnati
Oklahoma State,Houston
Oregon,Utah State
Penn State,Oregon State
Pittsburgh,Buffalo
Purdue,Northern Colorado
Rice,Memphis
South Florida,Central Florida
Southern Methodist,Texas State
Texas,Texas-El Paso
Texas A&M,New Mexico
Texas Christian,Stephen F. Austin
Texas Tech,Nevada
Tulsa,North Texas
Utah,Nevada-Las Vegas
Virginia,Richmond
Virginia Tech,Furman
Wake Forest,Mississippi
Western Kentucky,Eastern Kentucky
Western Michigan,Northern Illinois
Wisconsin,Marshall
North Carolina,Rutgers
Baylor,Washington State
Louisiana-Monroe,Alabama A&M
South Florida,Kansas
Air Force,Houston
Alabama,Western Kentucky
Auburn,Mississippi State
Ball State,Akron
Boise State,Bowling Green State
Brigham Young,UCLA
Buffalo,Temple
Central Michigan,Ohio
Clemson,North Carolina State
Connecticut,Virginia
Duke,Navy
East Carolina,Tulane
Florida State,Chattanooga
Georgia,South Carolina
Illinois,Louisiana
Iowa,Iowa State
Kent State,Delaware State
Kentucky,Middle Tennessee State
Louisiana State,North Texas
Marshall,Memphis
Maryland,California
Miami OH,Charleston Southern
Michigan State,Florida Atlantic
Minnesota,Montana State
Mississippi,Samford
Missouri,Nevada
Nebraska,New Mexico State
Nevada-Las Vegas,Arizona State
New Mexico,Arizona
Northwestern,Southern Illinois
Notre Dame,Michigan
Oklahoma,Washington
Oklahoma State,Missouri State
Oregon,Purdue
Oregon State,Hawaii
Penn State,Syracuse
San Jose State,San Diego State
Southern California,Ohio State
Southern Mississippi,Arkansas State
Tennessee,Alabama-Birmingham
Texas Christian,Stanford
Texas Tech,Southern Methodist
Toledo,Eastern Michigan
Troy,Alcorn State
Utah,Utah State
Vanderbilt,Rice
Virginia Tech,Georgia Tech
Western Michigan,Idaho
Wisconsin,Fresno State
Wyoming,North Dakota State
Louisville,Kansas State
Colorado,West Virginia
Connecticut,Baylor
Akron,Army
Alabama,Arkansas
Alabama-Birmingham,Alabama State
Arizona,UCLA
Arkansas State,Middle Tennessee State
Ball State,Indiana
Boise State,Oregon
Boston College,Central Florida
Brigham Young,Wyoming
Cincinnati,Miami OH
Clemson,South Carolina State
Colorado State,Houston
Florida,Tennessee
Fresno State,Toledo
Georgia,Arizona State
Georgia Tech,Mississippi State
Kansas,Sam Houston State
Louisiana,Kent State
Louisiana State,Auburn
Louisiana Tech,Southeastern Louisiana
Marshall,Southern Mississippi
Maryland,Eastern Michigan
Memphis,Nicholls State
Miami FL,Texas A&M
Michigan State,Notre Dame
Minnesota,Florida Atlantic
Missouri,Buffalo
Navy,Rutgers
Nevada-Las Vegas,Iowa State
New Mexico State,Texas-El Paso
North Carolina State,East Carolina
Northern Illinois,Indiana State
Northwestern,Ohio
Ohio State,Troy
Penn State,Temple
Pittsburgh,Iowa
Purdue,Central Michigan
South Carolina,Wofford
South Florida,Florida International
Stanford,San Jose State
Syracuse,Northeastern
Texas,Rice
Texas Christian,Southern Methodist
Texas Tech,Massachusetts
Tulane,Louisiana-Monroe
Tulsa,New Mexico
Utah,Air Force
Utah State,Idaho
Vanderbilt,Mississippi
Virginia Tech,North Carolina
Wake Forest,Florida State
Washington State,Portland State
Western Kentucky,Murray State
Western Michigan,Tennessee Tech
Oregon State,Southern California
Tulane,Southern Methodist
Connecticut,Louisville
Alabama,Georgia
Auburn,Tennessee
Ball State,Kent State
Boston College,Rhode Island
Bowling Green State,Wyoming
California,Colorado State
Central Michigan,Buffalo
Cincinnati,Akron
Duke,Virginia
Florida International,Toledo
Florida State,Colorado
Fresno State,UCLA
Houston,East Carolina
Kansas State,Louisiana
Kentucky,Western Kentucky
Louisiana State,Mississippi State
Maryland,Clemson
Memphis,Arkansas State
Michigan,Wisconsin
Michigan State,Indiana
Mississippi,Florida
Navy,Wake Forest
Nevada,Nevada-Las Vegas
New Mexico,New Mexico State
North Carolina,Miami FL
Northern Illinois,Eastern Michigan
Northwestern,Iowa
Notre Dame,Purdue
Ohio,Virginia Military Institute
Ohio State,Minnesota
Oklahoma,Texas Christian
Oklahoma State,Troy
Oregon,Washington State
Penn State,Illinois
Pittsburgh,Syracuse
Rice,North Texas
Rutgers,Morgan State
San Diego State,Idaho
San Jose State,Hawaii
South Carolina,Alabama-Birmingham
South Florida,North Carolina State
Stanford,Washington
Texas,Arkansas
Texas A&M,Army
Texas-El Paso,Central Florida
Tulsa,Central Arkansas
Utah,Weber State
Virginia Tech,Nebraska
West Virginia,Marshall
Western Michigan,Temple
Middle Tennessee State,Florida Atlantic
Boise State,Louisiana Tech
Memphis,Alabama-Birmingham
Pittsburgh,South Florida
Utah,Oregon State
Brigham Young,Utah State
Cincinnati,Marshall
Akron,Kent State
Alabama,Kentucky
Arizona,Washington
Army,Tulane
Ball State,Toledo
Boston College,North Carolina State
California,Arizona State
Central Florida,Southern Methodist
Colorado State,Nevada-Las Vegas
Eastern Michigan,Bowling Green State
Florida,Arkansas
Florida International,North Texas
Florida State,Miami FL
Georgia Tech,Duke
Hawaii,Fresno State
Illinois,Michigan
Kansas,Iowa State
Louisiana,Louisiana-Monroe
Michigan State,Iowa
Minnesota,Indiana
Missouri,Nebraska
Navy,Air Force
Nevada,Idaho
New Mexico,Wyoming
New Mexico State,Alcorn State
North Carolina,Connecticut
Notre Dame,Stanford
Ohio State,Wisconsin
Oklahoma,Baylor
Oklahoma State,Texas A&M
Penn State,Purdue
South Carolina,Mississippi
Southern California,Oregon
Temple,Miami OH
Tennessee,Northern Illinois
Texas,Colorado
Texas Christian,San Diego State
Texas Tech,Kansas State
Texas-El Paso,Southern Mississippi
Tulsa,Rice
UCLA,Washington State
Vanderbilt,Auburn
Virginia,Maryland
Virginia Tech,Western Kentucky
West Virginia,Rutgers
Western Michigan,Ohio
Troy,Florida Atlantic
Houston,Alabama-Birmingham
Wake Forest,Clemson
Louisville,Memphis
Air Force,San Diego State
Arkansas,Auburn
Arkansas State,Louisiana-Monroe
Army,Eastern Michigan
Ball State,Western Kentucky
Baylor,Iowa State
Boise State,Southern Mississippi
Bowling Green State,Akron
Brigham Young,New Mexico
Central Michigan,Temple
Cincinnati,Rutgers
Florida,Louisiana State
Florida International,Middle Tennessee State
Fresno State,Idaho
Georgia,Tennessee
Georgia Tech,Gardner-Webb
Hawaii,Louisiana Tech
Iowa,Indiana
Kansas,Colorado
Kansas State,Texas A&M
Louisiana,North Texas
Miami FL,Central Florida
Michigan State,Northwestern
Minnesota,Illinois
Mississippi State,Vanderbilt
New Mexico State,Nevada
North Carolina,Notre Dame
Northern Illinois,Miami OH
Ohio,Kent State
Ohio State,Purdue
Oklahoma State,Missouri
Oregon,UCLA
Oregon State,Washington State
Penn State,Wisconsin
San Jose State,Utah State
South Carolina,Kentucky
Southern California,Arizona State
Stanford,Arizona
Texas,Oklahoma
Texas Christian,Colorado State
Texas Tech,Nebraska
Texas-El Paso,Tulane
Toledo,Michigan
Tulsa,Southern Methodist
Utah,Wyoming
Virginia,East Carolina
West Virginia,Syracuse
Western Michigan,Buffalo
Florida State,North Carolina State
Texas Christian,Brigham Young
Boise State,Hawaii
Air Force,Nevada-Las Vegas
Akron,Eastern Michigan
Alabama,Mississippi
Alabama-Birmingham,Marshall
Arizona,California
Boston College,Virginia Tech
Buffalo,Army
Central Michigan,Western Michigan
Colorado,Kansas State
East Carolina,Memphis
Florida Atlantic,Western Kentucky
Georgia,Vanderbilt
Georgia Tech,Clemson
Houston,Southern Methodist
Illinois,Indiana
Iowa,Wisconsin
Kentucky,Arkansas
Louisiana,Arkansas State
Louisiana State,South Carolina
Louisiana Tech,Idaho
Louisiana-Monroe,North Texas
Louisville,Middle Tennessee State
Maryland,Wake Forest
Miami FL,Duke
Miami OH,Bowling Green State
Nebraska,Iowa State
Nevada,Utah State
New Mexico,San Diego State
Northern Illinois,Toledo
Northwestern,Purdue
Ohio State,Michigan State
Oklahoma,Kansas
Oklahoma State,Baylor
Oregon State,Washington
Penn State,Michigan
Pittsburgh,Navy
Rice,Southern Mississippi
Rutgers,Connecticut
San Jose State,New Mexico State
South Florida,Syracuse
Southern California,Washington State
Tennessee,Mississippi State
Texas,Missouri
Texas Tech,Texas A&M
Troy,Florida International
Tulsa,Texas-El Paso
UCLA,Stanford
Utah,Colorado State
Virginia,North Carolina
Temple,Ohio
Air Force,New Mexico
West Virginia,Auburn
Boise State,San Jose State
Alabama,Tennessee
Army,Louisiana Tech
Ball State,Eastern Michigan
Brigham Young,Nevada-Las Vegas
California,UCLA
Central Michigan,Toledo
Colorado State,San Diego State
Connecticut,Cincinnati
Duke,Vanderbilt
Florida,Kentucky
Florida Atlantic,Louisiana-Monroe
Florida State,Virginia Tech
Fresno State,Utah State
Georgia,Louisiana State
Hawaii,Nevada
Idaho,New Mexico State
Indiana,Northwestern
Kent State,Miami OH
Louisville,South Florida
Maryland,North Carolina State
Memphis,Southern Mississippi
Miami FL,Wake Forest
Michigan State,Michigan
Minnesota,Purdue
Mississippi,Arkansas
Mississippi State,Middle Tennessee State
Missouri,Colorado
Navy,Southern Methodist
Nebraska,Baylor
North Carolina,Boston College
Northern Illinois,Bowling Green State
Notre Dame,Washington
Oklahoma,Kansas State
Oregon,Arizona State
Penn State,Ohio State
Rice,Tulane
Rutgers,Pittsburgh
Southern California,Arizona
Texas,Oklahoma State
Texas A&M,Iowa State
Texas Christian,Wyoming
Texas Tech,Kansas
Troy,North Texas
Virginia,Georgia Tech
Wisconsin,Illinois
Tulsa,Central Florida
Buffalo,Ohio
Marshall,Houston
Cincinnati,South Florida
Air Force,Army
Alabama,Arkansas State
Arkansas,Tulsa
Boise State,New Mexico State
Bowling Green State,Kent State
Brigham Young,Colorado State
California,Oregon
Central Michigan,Indiana
Clemson,Boston College
Florida,Georgia
Georgia Tech,Florida State
Illinois,Iowa
Kansas,Kansas State
Kentucky,Mississippi State
Louisiana,Florida International
Louisiana State,Tulane
Louisiana Tech,Fresno State
Louisiana-Monroe,Troy
Miami FL,Virginia
Michigan State,Wisconsin
Mississippi,Auburn
Missouri,Baylor
Navy,Temple
North Texas,Western Kentucky
Northwestern,Minnesota
Oklahoma,Nebraska
Oklahoma State,Iowa State
Oregon State,Arizona State
Pittsburgh,Notre Dame
Purdue,Michigan
Rice,Texas-El Paso
San Jose State,Idaho
South Carolina,Tennessee
Southern California,Washington
Southern Mississippi,Alabama-Birmingham
Stanford,Washington State
Syracuse,Louisville
Texas A&M,Colorado
Texas Christian,Nevada-Las Vegas
Texas Tech,Texas
Utah,New Mexico
Utah State,Hawaii
Wake Forest,Duke
West Virginia,Connecticut
Western Michigan,Eastern Michigan
Wyoming,San Diego State
East Carolina,Central Florida
Buffalo,Miami OH
Akron,Toledo
Ball State,Northern Illinois
Utah,Texas Christian
Virginia Tech,Maryland
Nevada,Fresno State
Air Force,Colorado State
Alabama,Louisiana State
Arizona,Washington State
Arizona State,Washington
Auburn,Tennessee-Martin
Boise State,Utah State
Boston College,Notre Dame
Bowling Green State,Ohio
Brigham Young,San Diego State
Cincinnati,West Virginia
Colorado,Iowa State
East Carolina,Marshall
Florida,Vanderbilt
Florida Atlantic,North Texas
Florida International,Arkansas State
Florida State,Clemson
Georgia,Kentucky
Hawaii,New Mexico State
Houston,Tulane
Iowa,Penn State
Louisiana Tech,San Jose State
Memphis,Southern Methodist
Michigan,Minnesota
Michigan State,Purdue
Middle Tennessee State,Louisiana-Monroe
Missouri,Kansas State
Nebraska,Kansas
Nevada-Las Vegas,New Mexico
North Carolina,Georgia Tech
North Carolina State,Duke
Ohio State,Northwestern
Oklahoma,Texas A&M
Oregon,Stanford
Oregon State,UCLA
Pittsburgh,Louisville
Rice,Army
Rutgers,Syracuse
South Carolina,Arkansas
Southern California,California
Southern Mississippi,Central Florida
Texas,Baylor
Texas Tech,Oklahoma State
Texas-El Paso,Louisiana
Troy,Western Kentucky
Wake Forest,Virginia
Western Michigan,Illinois
Wisconsin,Indiana
Wyoming,Tennessee
Ball State,Miami OH
Central Michigan,Northern Illinois
Kent State,Temple
Buffalo,Akron
Miami FL,Virginia Tech
Nevada-Las Vegas,Wyoming
Cincinnati,Louisville
Alabama,Mississippi State
Alabama-Birmingham,Tulane
Arizona State,Washington State
Baylor,Texas A&M
Boise State,Idaho
Boston College,Florida State
Brigham Young,Air Force
Central Florida,Marshall
Clemson,Duke
Colorado State,New Mexico
Connecticut,Syracuse
Florida,South Carolina
Florida Atlantic,Louisiana
Fresno State,New Mexico State
Georgia,Auburn
Houston,Tulsa
Iowa,Purdue
Louisiana State,Troy
Louisiana Tech,Utah State
Maryland,North Carolina
Middle Tennessee State,Western Kentucky
Mississippi,Louisiana-Monroe
Missouri,Iowa State
Nebraska,Kansas State
Nevada,San Jose State
North Carolina State,Wake Forest
Northwestern,Michigan
Notre Dame,Navy
Ohio State,Illinois
Oklahoma State,Colorado
Oregon,Arizona
Oregon State,California
Penn State,Indiana
Rutgers,South Florida
Southern California,Stanford
Southern Mississippi,East Carolina
Texas,Kansas
Texas-El Paso,Southern Methodist
UCLA,Washington
Utah,San Diego State
Vanderbilt,Kentucky
Western Michigan,Toledo
Wisconsin,Minnesota
Northern Illinois,Kent State
Ball State,Central Michigan
Georgia Tech,Miami FL
Buffalo,Bowling Green State
Fresno State,San Jose State
Toledo,Miami OH
Arkansas State,Florida Atlantic
Boise State,Nevada
Boston College,Wake Forest
California,Stanford
Central Florida,Memphis
Cincinnati,Pittsburgh
Clemson,Virginia
Colorado State,Wyoming
East Carolina,Alabama-Birmingham
Florida,Citadel
Florida State,Maryland
Hawaii,Idaho
Houston,Texas-El Paso
Iowa,Minnesota
Kansas State,Iowa State
Louisiana Tech,New Mexico State
Louisiana-Monroe,Florida International
Middle Tennessee State,North Texas
Mississippi,Louisiana State
Mississippi State,Arkansas
North Carolina State,North Carolina
Northwestern,Illinois
Ohio,Akron
Ohio State,Michigan
Oklahoma,Texas Tech
Oregon State,Arizona
Penn State,Michigan State
Purdue,Indiana
Rice,Marshall
Rutgers,Army
San Diego State,Nevada-Las Vegas
Syracuse,Notre Dame
Temple,Eastern Michigan
Tennessee,Vanderbilt
Texas Christian,Air Force
Troy,Louisiana
Tulsa,Tulane
Utah,Brigham Young
Virginia Tech,Duke
Washington State,Washington
West Virginia,Louisville
Wisconsin,Cal Poly
South Florida,Connecticut
Ball State,Western Michigan
Navy,Northern Illinois
Texas,Texas A&M
Arizona State,UCLA
Arkansas,Louisiana State
Boise State,Fresno State
Bowling Green State,Toledo
East Carolina,Texas-El Paso
Eastern Michigan,Central Michigan
Kent State,Buffalo
Mississippi,Mississippi State
Nebraska,Colorado
Ohio,Miami OH
Pittsburgh,West Virginia
Temple,Akron
Alabama,Auburn
Alabama-Birmingham,Central Florida
Arkansas State,North Texas
Boston College,Maryland
Cincinnati,Syracuse
Clemson,South Carolina
Florida,Florida State
Florida Atlantic,Florida International
Georgia Tech,Georgia
Hawaii,Washington State
Kansas,Missouri
Memphis,Tulane
Nevada,Louisiana Tech
North Carolina,Duke
North Carolina State,Miami FL
Oklahoma,Oklahoma State
Oregon,Oregon State
Rice,Houston
Southern California,Notre Dame
Southern Mississippi,Southern Methodist
Tennessee,Kentucky
Texas Tech,Baylor
Tulsa,Marshall
Utah State,New Mexico State
Virginia Tech,Virginia
Wake Forest,Vanderbilt
Louisiana,Middle Tennessee State
Rutgers,Louisville
Buffalo,Ball State
Arizona,Arizona State
California,Washington
Cincinnati,Hawaii
East Carolina,Tulsa
Florida,Alabama
Florida International,Western Kentucky
Navy,Army
Oklahoma,Missouri
Pittsburgh,Connecticut
Southern California,UCLA
Troy,Arkansas State
Virginia Tech,Boston College
West Virginia,South Florida
Arizona,Brigham Young
Colorado State,Fresno State
South Florida,Memphis
Wake Forest,Navy
Wake Forest,Navy
Southern Mississippi,Troy
Texas Christian,Boise State
Notre Dame,Hawaii
Florida Atlantic,Central Michigan
California,Miami FL
Florida State,Wisconsin
West Virginia,North Carolina
Louisiana Tech,Northern Illinois
Missouri,Northwestern
Rutgers,North Carolina State
Maryland,Nevada
Oregon,Oklahoma State
Rice,Western Michigan
Houston,Air Force
Kansas,Minnesota
Louisiana State,Georgia Tech
Oregon State,Pittsburgh
Vanderbilt,Boston College
Georgia,Michigan State
Iowa,South Carolina
Nebraska,Clemson
Southern California,Penn State
Virginia Tech,Cincinnati
Kentucky,East Carolina
Mississippi,Texas Tech
Utah,Alabama
Connecticut,Buffalo
Texas,Ohio State
Tulsa,Ball State
Florida,Oklahoma